onset	duration	trial_type
0	4	Discard
4	6	Static
10	12	Coherent
22	6	Coh_aCoh
28	3	MAE
31	3	Report
34	6	Static
40	12	NonAdapt
52	6	InCoh_aNA
58	3	MAE
61	3	Report
64	6	Static
70	12	Coherent
82	6	InCoh_aCoh
88	3	MAE
91	3	Report
94	6	Static
100	12	NonAdapt
112	6	Coh_aNA
118	3	MAE
121	3	Report
124	6	Static
130	12	Incoherent
142	6	Coh_aInCoh
148	3	MAE
151	3	Report
154	6	Static
160	12	Incoherent
172	6	InCoh_aInCoh
178	3	MAE
181	3	Report
184	6	Static
190	12	Coherent
202	6	Coh_aCoh
208	3	MAE
211	3	Report
214	6	Static
220	12	NonAdapt
232	6	InCoh_aNA
238	3	MAE
241	3	Report
244	6	Static
250	12	Coherent
262	6	InCoh_aCoh
268	3	MAE
271	3	Report
274	6	Static
280	12	NonAdapt
292	6	Coh_aNA
298	3	MAE
301	3	Report
304	6	Static
310	12	Incoherent
322	6	Coh_aInCoh
328	3	MAE
331	3	Report
334	6	Static
340	12	Incoherent
352	6	InCoh_aInCoh
358	3	MAE
361	3	Report
364	6	Static
370	4	Discard
